training_step,original_training_step,eval_connection_error_rate,eval_connection_success_rate,validation_base_reward_raw,validation_base_reward,validation_base_reward_source_run_id,validation_base_reward_source_run_name,validation_base_reward_source_created_at,validation_base_reward_source_wandb_step,validation_medal_count_raw,validation_medal_count,validation_medal_count_source_run_id,validation_medal_count_source_run_name,validation_medal_count_source_created_at,validation_medal_count_source_wandb_step,rollout_base_reward,rollout_base_reward_source_run_id,rollout_base_reward_source_run_name,rollout_base_reward_source_created_at,rollout_base_reward_source_wandb_step
190,760,,,,,,,,,,,,,,,0.378336523856,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,415
191,761,,,,,,,,,,,,,,,0.496177323625,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,417
192,762,,,,,,,,,,,,,,,0.359241303309,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,426
193,763,,,,,,,,,,,,,,,0.437029226098,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,431
194,764,0,1,0.359863939224,0.359863939224,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,442,24,24,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,442,0.502786692796,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,436
195,765,,,,,,,,,,,,,,,0.284392266654,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,441
196,766,,,,,,,,,,,,,,,0.380560511134,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,443
197,767,,,,,,,,,,,,,,,0.422976053292,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,452
198,768,,,,,,,,,,,,,,,0.587164362324,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,457
199,769,0,1,0.403611030829,0.403611030829,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,468,31,31,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,468,0.435066719312,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,462
200,770,,,,,,,,,,,,,,,0.390667511679,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,467
201,771,,,,,,,,,,,,,,,0.513858208264,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,471
202,772,,,,,,,,,,,,,,,0.378031574144,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,478
203,773,,,,,,,,,,,,,,,0.291524550179,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,483
204,774,0,1,0.394669498659,0.394669498659,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,494,20,20,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,494,0.293579582141,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,488
205,775,,,,,,,,,,,,,,,0.291054121003,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,493
206,776,,,,,,,,,,,,,,,0.33835264607,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,496
207,777,,,,,,,,,,,,,,,0.5791516473,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,504
208,778,,,,,,,,,,,,,,,0.404766965332,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,509
209,779,0,1,0.373805591963,0.373805591963,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,520,23,23,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,520,0.426912996556,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,514
210,780,,,,,,,,,,,,,,,0.380839012494,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,519
211,781,,,,,,,,,,,,,,,0.33279671952,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,522
212,782,,,,,,,,,,,,,,,0.457389315638,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,530
213,783,,,,,,,,,,,,,,,0.373471081787,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,535
214,784,0,1,0.32170700616,0.32170700616,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,546,25,25,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,546,0.357736003798,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,540
215,785,,,,,,,,,,,,,,,0.265332650511,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,545
216,786,,,,,,,,,,,,,,,0.496589317897,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,547
217,787,,,,,,,,,,,,,,,0.394229624101,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,556
218,788,,,,,,,,,,,,,,,0.415209153615,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,561
219,789,,,,,,,,,,,,,,,0.36124200814,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,566
220,790,,,,,,,,,,,,,,,0.399524893062,0poqgdt3,qwen36_35b_resume679_async_formal_16x16-20260717155950,2026-07-17T16:00:32Z,571
